,0
434,"11,195,057"
435,"11,195,019"
436,"11,195,010"
437,"11,191,215"
438,"11,190,782"
439,"11,190,538"
440,"11,190,399"
441,"11,189,509"
442,"11,189,378"
443,"11,189,282"
444,"11,189,278"
445,"11,189,272"
446,"11,189,268"
447,"11,188,838"
448,"11,188,833"
449,"11,188,800"
450,"11,188,797"
451,"11,188,741"
452,"11,188,614"
453,"11,188,588"
454,"11,188,436"
455,"11,188,158"
456,"11,185,780"
457,"11,185,229"
458,"11,184,471"
459,"11,183,296"
460,"11,183,190"
461,"11,183,184"
462,"11,183,173"
463,"11,183,031"
464,"11,182,876"
465,"11,182,841"
466,"11,182,748"
467,"11,182,648"
468,"11,182,621"
469,"11,182,457"
470,"11,179,844"
471,"11,178,223"
472,"11,178,182"
473,"11,177,043"
474,"11,176,929"
475,"11,176,831"
476,"11,176,656"
477,"11,176,632"
478,"11,176,598"
479,"11,176,475"
480,"11,176,470"
481,"11,176,402"
482,"11,175,518"
483,"11,174,289"
484,"11,173,893"
485,"11,172,369"
486,"11,171,483"
487,"11,170,775"
488,"11,170,662"
489,"11,170,607"
490,"11,170,534"
491,"11,170,473"
492,"11,170,472"
493,"11,170,335"
494,"11,170,268"
495,"11,170,266"
496,"11,170,260"
497,"11,170,239"
498,"11,170,222"
499,"11,170,201"
500,"11,170,055"
501,"11,170,038"
502,"11,167,214"
503,"11,164,586"
504,"11,164,581"
505,"11,164,478"
506,"11,164,383"
507,"11,164,340"
508,"11,164,309"
509,"11,164,236"
510,"11,164,107"
511,"11,164,069"
512,"11,164,045"
513,"11,164,036"
514,"11,164,000"
515,"11,163,637"
516,"11,163,544"
517,"11,163,360"
518,"11,163,270"
519,"11,161,046"
520,"11,161,011"
521,"11,159,772"
522,"11,159,565"
523,"11,159,446"
524,"11,158,327"
525,"11,158,295"
526,"11,158,073"
527,"11,158,003"
528,"11,157,756"
529,"11,157,706"
530,"11,157,505"
531,"11,156,982"
532,"11,156,837"
533,"11,155,176"
534,"11,154,194"
535,"11,153,739"
536,"11,153,575"
537,"11,153,177"
538,"11,152,702"
539,"11,151,998"
540,"11,151,835"
541,"11,151,825"
542,"11,151,647"
543,"11,151,468"
544,"11,151,453"
545,"11,151,416"
546,"11,151,411"
547,"11,151,357"
548,"11,151,177"
549,"11,151,024"
550,"11,150,676"
551,"11,150,655"
552,"11,146,935"
553,"11,146,930"
554,"11,146,670"
555,"11,146,609"
556,"11,146,472"
557,"11,145,421"
558,"11,145,303"
559,"11,145,198"
560,"11,145,171"
561,"11,145,128"
562,"11,145,088"
563,"11,144,846"
564,"11,144,838"
565,"11,144,792"
566,"11,144,577"
567,"11,144,316"
568,"11,144,289"
569,"11,143,156"
570,"11,140,068"
571,"11,138,844"
572,"11,138,797"
573,"11,138,717"
574,"11,138,562"
575,"11,138,503"
576,"11,138,453"
577,"11,138,249"
578,"11,137,987"
579,"11,137,474"
580,"11,137,161"
581,"11,134,402"
582,"11,134,186"
583,"11,134,034"
584,"11,133,111"
585,"11,132,995"
586,"11,132,565"
587,"11,131,854"
588,"11,129,577"
589,"11,128,925"
590,"11,128,840"
591,"11,128,737"
592,"11,127,488"
593,"11,127,372"
594,"11,126,834"
595,"11,126,833"
596,"11,125,675"
597,"11,124,185"
598,"11,123,002"
599,"11,122,050"
600,"11,120,791"
601,"11,120,364"
602,"11,120,299"
603,"11,120,265"
604,"11,120,098"
605,"11,119,878"
606,"11,117,580"
607,"11,116,027"
608,"11,115,741"
609,"11,115,597"
610,"11,115,530"
611,"11,114,207"
612,"11,114,193"
613,"11,114,093"
614,"11,113,890"
615,"11,113,653"
616,"11,113,532"
617,"11,113,453"
618,"11,113,026"
619,"11,112,778"
620,"11,112,771"
621,"11,109,283"
622,"11,109,118"
623,"11,108,844"
624,"11,108,792"
625,"11,107,591"
626,"11,107,471"
627,"11,107,456"
628,"11,107,224"
629,"11,107,209"
630,"11,107,190"
631,"11,107,182"
632,"11,107,006"
633,"11,106,923"
634,"11,106,728"
635,"11,106,569"
636,"11,106,523"
637,"11,105,801"
638,"11,105,641"
639,"11,104,409"
640,"11,101,028"
641,"11,100,785"
642,"11,100,753"
643,"11,100,621"
644,"11,100,607"
645,"11,100,574"
646,"11,100,506"
647,"11,100,448"
648,"11,100,435"
649,"11,100,423"
650,"11,100,409"
651,"11,100,373"
652,"11,100,214"
653,"11,097,490"
654,"11,094,420"
655,"11,094,411"
656,"11,094,171"
657,"11,094,042"
658,"11,093,951"
659,"11,093,855"
660,"11,093,814"
661,"11,093,795"
662,"11,093,711"
663,"11,093,632"
664,"11,093,533"
665,"11,093,519"
666,"11,093,354"
667,"11,092,966"
668,"11,089,154"
669,"11,087,865"
670,"11,087,768"
671,"11,087,547"
672,"11,087,214"
673,"11,087,166"
674,"11,086,298"
675,"11,082,610"
676,"11,082,347"
677,"11,081,109"
678,"11,080,933"
679,"11,080,838"
680,"11,080,793"
681,"11,080,768"
682,"11,080,709"
683,"11,080,617"
684,"11,080,616"
685,"11,080,481"
686,"11,080,466"
687,"11,080,441"
688,"11,080,337"
689,"11,080,091"
690,"11,079,260"
691,"11,076,734"
692,"11,076,451"
693,"11,076,088"
694,"11,075,943"
695,"11,074,904"
696,"11,074,791"
697,"11,074,787"
698,"11,074,754"
699,"11,074,671"
700,"11,074,669"
701,"11,074,495"
702,"11,074,447"
703,"11,074,107"
704,"11,073,541"
705,"11,073,390"
706,"11,073,006"
707,"11,071,166"
708,"11,069,355"
709,"11,069,340"
710,"11,069,225"
711,"11,069,143"
712,"11,069,048"
713,"11,068,817"
714,"11,068,734"
715,"11,068,661"
716,"11,066,025"
717,"11,064,319"
718,"11,064,233"
719,"11,062,606"
720,"11,062,455"
721,"11,062,444"
722,"11,062,271"
723,"11,061,961"
724,"11,061,945"
725,"11,061,718"
726,"11,061,398"
727,"11,058,209"
728,"11,057,750"
729,"11,057,519"
730,"11,056,228"
731,"11,056,100"
732,"11,056,096"
733,"11,055,822"
734,"11,055,676"
735,"11,055,633"
736,"11,055,575"
737,"11,055,553"
738,"11,055,544"
739,"11,055,341"
740,"11,055,214"
741,"11,052,851"
742,"11,052,821"
743,"11,050,885"
744,"11,050,778"
745,"11,050,473"
746,"11,049,608"
747,"11,049,594"
748,"11,049,590"
749,"11,049,489"
750,"11,049,404"
751,"11,049,359"
752,"11,049,349"
753,"11,049,153"
754,"11,049,043"
755,"11,049,025"
756,"11,048,872"
757,"11,048,831"
758,"11,047,978"
759,"11,047,698"
760,"11,044,585"
761,"11,044,328"
762,"11,044,097"
763,"11,042,910"
764,"11,042,827"
765,"11,042,801"
766,"11,042,766"
767,"11,042,692"
768,"11,042,472"
769,"11,042,362"
770,"11,040,650"
771,"11,037,548"
772,"11,037,378"
773,"11,036,968"
774,"11,036,965"
775,"11,036,642"
776,"11,036,488"
777,"11,033,936"
778,"11,032,624"
779,"11,032,421"
780,"11,032,251"
781,"11,031,106"
782,"11,031,000"
783,"11,030,995"
784,"11,030,991"
785,"11,030,883"
786,"11,030,585"
787,"11,030,527"
788,"11,030,480"
789,"11,030,412"
790,"11,030,200"
791,"11,030,086"
792,"11,029,300"
793,"11,027,962"
794,"11,027,436"
795,"11,026,241"
796,"11,024,422"
797,"11,024,020"
798,"11,023,391"
799,"11,023,221"
800,"11,023,133"
801,"11,019,413"
802,"11,019,039"
803,"11,017,842"
804,"11,017,321"
805,"11,017,230"
806,"11,017,179"
807,"11,017,176"
808,"11,017,156"
809,"11,016,740"
810,"11,016,732"
811,"11,016,214"
812,"11,015,943"
813,"11,015,576"
814,"11,013,452"
815,"11,012,381"
816,"11,010,961"
817,"11,010,848"
818,"11,010,831"
819,"11,010,672"
820,"11,010,472"
821,"11,010,345"
822,"11,010,314"
823,"11,010,129"
824,"11,010,124"
825,"11,006,178"
826,"11,005,582"
827,"11,004,563"
828,"11,004,500"
829,"11,004,013"
830,"11,003,953"
831,"11,003,864"
832,"11,003,863"
833,"11,003,796"
834,"11,003,705"
835,"11,003,568"
836,"11,003,417"
837,"11,003,414"
838,"11,002,557"
839,"10,999,814"
840,"10,999,352"
841,"10,999,175"
842,"10,998,104"
843,"10,997,371"
844,"10,997,259"
845,"10,997,187"
846,"10,993,465"
847,"10,993,416"
848,"10,992,839"
849,"10,992,699"
850,"10,992,609"
851,"10,992,331"
852,"10,991,265"
853,"10,990,904"
854,"10,990,767"
855,"10,990,524"
856,"10,990,421"
857,"10,990,105"
858,"10,989,463"
859,"10,986,235"
860,"10,986,046"
861,"10,984,894"
862,"10,984,703"
863,"10,984,666"
864,"10,984,650"
865,"10,984,490"
866,"10,984,488"
867,"10,984,423"
868,"10,984,337"
869,"10,984,327"
870,"10,984,326"
871,"10,984,167"
872,"10,984,066"
873,"10,983,969"
874,"10,983,841"
875,"10,983,789"
876,"10,983,488"
877,"10,983,250"
878,"10,979,625"
879,"10,979,241"
880,"10,978,050"
881,"10,977,654"
882,"10,977,578"
883,"10,977,522"
884,"10,977,291"
885,"10,976,715"
886,"10,976,337"
887,"10,973,590"
888,"10,972,427"
889,"10,972,345"
890,"10,971,268"
891,"10,970,900"
892,"10,970,835"
893,"10,970,618"
894,"10,970,605"
895,"10,970,490"
896,"10,970,365"
897,"10,970,322"
898,"10,970,321"
899,"10,969,935"
900,"10,969,162"
901,"10,965,945"
902,"10,965,703"
903,"10,965,527"
904,"10,965,489"
905,"10,965,446"
906,"10,964,424"
907,"10,964,202"
908,"10,964,201"
909,"10,963,816"
910,"10,963,799"
911,"10,963,792"
912,"10,963,700"
913,"10,963,518"
914,"10,963,510"
915,"10,963,231"
916,"10,962,663"
917,"10,962,473"
918,"10,962,372"
919,"10,962,250"
920,"10,960,266"
921,"10,960,091"
922,"10,958,553"
923,"10,958,516"
924,"10,958,325"
925,"10,957,442"
926,"10,957,424"
927,"10,957,158"
928,"10,957,043"
929,"10,956,875"
930,"10,956,675"
931,"10,956,635"
932,"10,955,456"
933,"10,955,362"
934,"10,951,777"
935,"10,951,763"
936,"10,951,656"
937,"10,951,485"
938,"10,950,346"
939,"10,950,338"
940,"10,950,222"
941,"10,950,189"
942,"10,950,104"
943,"10,950,009"
944,"10,949,970"
945,"10,949,919"
946,"10,949,914"
947,"10,949,901"
948,"10,949,759"
949,"10,949,653"
950,"10,949,218"
951,"10,948,914"
952,"10,947,968"
953,"10,946,882"
954,"10,945,888"
955,"10,945,298"
956,"10,944,912"
957,"10,944,864"
958,"10,944,436"
959,"10,943,590"
960,"10,943,493"
961,"10,943,486"
962,"10,943,196"
963,"10,943,185"
964,"10,943,172"
965,"10,943,168"
966,"10,943,072"
967,"10,943,069"
968,"10,942,971"
969,"10,942,562"
970,"10,938,959"
971,"10,938,828"
972,"10,938,650"
973,"10,938,464"
974,"10,937,216"
975,"10,937,197"
976,"10,937,160"
977,"10,936,962"
978,"10,936,947"
979,"10,936,942"
980,"10,936,918"
981,"10,936,915"
982,"10,936,687"
983,"10,936,363"
984,"10,936,062"
985,"10,931,813"
986,"10,931,808"
987,"10,931,659"
988,"10,929,973"
989,"10,929,498"
990,"10,929,456"
991,"10,929,390"
992,"10,928,986"
993,"10,928,903"
994,"10,928,374"
995,"10,926,952"
996,"10,924,946"
997,"10,924,606"
998,"10,923,233"
999,"10,923,120"
1000,"10,923,102"
1001,"10,922,946"
1002,"10,922,483"
1003,"10,922,464"
1004,"10,922,363"
1005,"10,922,342"
1006,"10,922,163"
1007,"10,922,047"
1008,"10,921,911"
1009,"10,921,775"
1010,"10,917,168"
1011,"10,917,121"
1012,"10,915,818"
1013,"10,915,814"
1014,"10,915,813"
1015,"10,915,578"
1016,"10,912,495"
1017,"10,912,003"
1018,"10,911,795"
1019,"10,910,107"
1020,"10,909,981"
1021,"10,909,979"
1022,"10,909,684"
1023,"10,909,604"
1024,"10,909,442"
1025,"10,909,401"
1026,"10,908,419"
1027,"10,904,929"
1028,"10,904,401"
1029,"10,902,514"
1030,"10,902,480"
1031,"10,902,351"
1032,"10,902,320"
1033,"10,902,313"
1034,"10,902,276"
1035,"10,902,201"
1036,"10,902,077"
1037,"10,902,062"
1038,"10,901,787"
1039,"10,901,380"
1040,"10,901,373"
1041,"10,901,032"
1042,"10,896,291"
1043,"10,896,228"
1044,"10,892,056"
1045,"10,891,864"
1046,"10,891,627"
1047,"10,891,537"
1048,"10,891,134"
1049,"10,889,301"
1050,"10,888,300"
1051,"10,887,759"
1052,"10,887,640"
1053,"10,887,454"
1054,"10,885,891"
1055,"10,885,877"
1056,"10,885,531"
1057,"10,885,324"
1058,"10,885,314"
1059,"10,885,122"
1060,"10,884,710"
1061,"10,884,705"
1062,"10,884,485"
1063,"10,883,436"
1064,"10,881,964"
1065,"10,880,701"
1066,"10,878,954"
1067,"10,878,488"
1068,"10,878,388"
1069,"10,878,219"
